index,date,State,region,blockchain,gekyume,ibf,incel,jit,juuling,mukbang,rng,uwu,zaddy
243,01/24/2016,Rhode Island,RI,0,0,0,0,0.05717,0,0,0.05627,0,0
244,01/24/2016,South Carolina,SC,0,0,0.01518,0,0.01518,0,0,0.01525,0,0.03066
245,01/24/2016,South Dakota,SD,0,0,0,0,0,0,0.08408,0,0,0
246,01/24/2016,Tennessee,TN,0.00943,0,0,0.01932,0,0,0,0.02386,0,0.00966
247,01/24/2016,Texas,TX,0.00892,0,0.00198,0.00198,0.00793,0,0.00198,0.00694,0,0.00593
248,01/24/2016,Utah,UT,0,0,0,0.02095,0.02095,0,0.02095,0.021,0,0
249,01/24/2016,Vermont,VT,0.10185,0,0,0,0,0,0,0,0,0
250,01/24/2016,Virginia,VA,0.02373,0,0,0,0.01356,0,0,0.02034,0,0.00678
251,01/24/2016,Washington,WA,0.01553,0,0.00777,0,0.01553,0,0.00777,0.01553,0,0
252,01/24/2016,West Virginia,WV,0,0,0,0,0,0,0,0,0,0
253,01/24/2016,Wisconsin,WI,0.02263,0,0,0,0.01705,0,0,0.01136,0.01141,0.01141
254,01/24/2016,Wyoming,WY,0,0,0,0,0,0,0,0,0,0
255,01/31/2016,Alabama,AL,0.01585,0,0,0,0.03182,0,0,0.01585,0,0
256,01/31/2016,Alaska,AK,0.10095,0,0,0,0.10195,0,0,0,0,0
257,01/31/2016,Arizona,AZ,0.01879,0,0.01898,0,0.01898,0,0.0094,0.03305,0,0
258,01/31/2016,Arkansas,AR,0.08435,0,0.02812,0.02778,0,0,0,0.02795,0.02812,0
259,01/31/2016,California,CA,0.02109,0,0.00408,0,0.01837,0,0.00748,0.01905,0.00204,0.00272
260,01/31/2016,Colorado,CO,0.0145,0,0,0,0.02903,0,0,0.00967,0,0
261,01/31/2016,Connecticut,CT,0.02331,0,0,0,0.01555,0,0,0.01555,0,0
262,01/31/2016,Delaware,DE,0.07715,0,0,0,0.07652,0,0,0.07652,0,0
263,01/31/2016,District of Columbia,DC,0.04191,0,0,0,0.01677,0,0,0.01682,0,0
264,01/31/2016,Florida,FL,0.01519,0,0.00552,0,0.02899,0,0.00276,0.0069,0.00276,0.00414
265,01/31/2016,Georgia,GA,0.01715,0,0,0,0.01961,0,0,0.01961,0,0.0049
266,01/31/2016,Hawaii,HI,0,0,0,0,0.04483,0,0,0.0451,0,0.04483
267,01/31/2016,Idaho,ID,0,0,0,0,0,0,0,0,0,0
268,01/31/2016,Illinois,IL,0.00966,0,0.00384,0,0.01933,0,0.00767,0.01739,0,0.00767
269,01/31/2016,Indiana,IN,0.01098,0,0,0,0.02196,0,0,0.02207,0,0
270,01/31/2016,Iowa,IA,0.02115,0,0,0,0.02133,0,0,0,0,0
271,01/31/2016,Kansas,KS,0.02276,0,0,0,0.02253,0,0,0.02276,0,0
272,01/31/2016,Kentucky,KY,0.01775,0,0,0,0.01775,0,0,0.0355,0,0.01781
273,01/31/2016,Louisiana,LA,0,0,0,0,0.01802,0,0,0.01827,0.01802,0.01827
274,01/31/2016,Maine,ME,0,0,0,0,0,0,0,0,0,0
275,01/31/2016,Maryland,MD,0.01989,0,0,0,0.01001,0,0,0.02984,0.00989,0.01001
276,01/31/2016,Massachusetts,MA,0.04082,0,0,0,0.01021,0,0,0.017,0.00676,0
277,01/31/2016,Michigan,MI,0.01164,0,0,0,0.01165,0,0,0.01748,0,0
278,01/31/2016,Minnesota,MN,0.02652,0,0,0,0.03185,0,0,0.01061,0,0
279,01/31/2016,Mississippi,MS,0,0,0,0,0,0,0,0,0,0
280,01/31/2016,Missouri,MO,0.01065,0,0,0,0,0,0,0.02662,0,0.01073
281,01/31/2016,Montana,MT,0.07855,0,0,0,0.1579,0,0,0.07855,0,0
282,01/31/2016,Nebraska,NE,0,0,0,0,0,0,0,0.03379,0,0
283,01/31/2016,Nevada,NV,0.06582,0,0,0,0.02194,0,0.02194,0.05526,0,0
284,01/31/2016,New Hampshire,NH,0,0,0,0,0,0,0.04709,0,0,0
285,01/31/2016,New Jersey,NJ,0.02891,0,0.00964,0.0064,0.0128,0,0.0064,0.02571,0,0.0128
286,01/31/2016,New Mexico,NM,0,0,0,0,0,0,0,0.03826,0,0
287,01/31/2016,New York,NY,0.04666,0,0,0.00234,0.00583,0,0.00232,0.014,0,0.00929
288,01/31/2016,North Carolina,NC,0.01687,0,0,0,0.01968,0,0,0.01687,0,0.0113
289,01/31/2016,North Dakota,ND,0,0,0,0,0,0,0,0,0,0
290,01/31/2016,Ohio,OH,0,0,0.01127,0,0.00846,0,0,0.02819,0,0.01409
291,01/31/2016,Oklahoma,OK,0.04289,0,0.02145,0,0,0,0,0.03199,0,0
292,01/31/2016,Oregon,OR,0.02648,0,0.0264,0.0132,0.01324,0,0.0132,0.02648,0,0
293,01/31/2016,Pennsylvania,PA,0.01727,0,0.00491,0,0.00987,0,0,0.0148,0,0.00982
